Trends	Search volume	Started	Ended	Trend breakdown	Explore link
pbks vs srh	2M+	12 April 2025 at 15:10:00 UTC+5:30		pbks vs srh,eshan malinga,kings vs sunrisers,abhishek sharma,punjab kings vs sunrisers hyderabad match scorecard,sunrisers hyderabad vs punjab kings match scorecard,srh vs punjab,kavya maran,punjab kings vs sunrisers hyderabad,punjab vs hyderabad,highest score in ipl,srh vs pbks 2025,highest individual score in ipl,pbks vs srh 2025,punjab vs srh,sunrisers hyderabad vs punjab kings,ipl history highest score batsman,travis head,ipl highest score,highest chase in ipl,highest run chase in ipl,pbks srh,hyderabad vs punjab,sunrisers vs kings,punjab kings vs sunrisers hyderabad standings,ipl highest score batsman,punjab versus hyderabad,punjab kings vs sunrisers hyderabad timeline,srh pbks,hyderabad versus punjab,pk vs srh,marcus stoinis,where to watch sunrisers hyderabad vs punjab kings,srh,hrs vs pbks,sunrisers hyderabad,sunrisers hyderabad vs punjab kings standings,punjab-hyderabad,arshdeep singh,where to watch punjab kings vs sunrisers hyderabad,prabhsimran singh,heinrich klaasen,fastest century in ipl,shreyas iyer,punjab kings,nicholas pooran,pbks,srh vs,live score,highest score in ipl by player,kings at sunrisers,fastest 50 in ipl,srh vs pbk,sunrisers hyderabad vs punjab kings timeline,highest ipl score,srh v pbks,yuvraj singh,ipl fastest 100,srh vs pbks 2024,abhishek sharma ipl 2025 price,ipl 2025 today match,stoinis,kings vs sunriser,highest run in ipl,hyderabad,pbks vs,srh versus pbks,hyd vs punjab,lasith malinga,hyderabad vs punjab today match,espncricinfo,highest score in ipl 2025,srh vs pk,cricket,kxip vs srh,fastest ipl century,pat cummins,ipl highest individual score,ipl highest run,cricinfo,srh versus punjab,punjab kings vs sunrisers hyderabad stats,pbks v srh,malinga,ipl highlights,pbks vs sr,abhishek sharma parents,srh match,espn cricinfo,pbk vs srh,highest ipl individual score,live cricket ipl,pbks versus srh,fastest hundred in ipl,pbks vs shr,fastest century,punjab versus srh,srh matches,srh vs kxip,ipl point table 2025,abishek sharma,ipl individual highest score,ipl table 2025,highest ipl score by a batsman,hyderabad-punjab,pbks vs srh live,abhishek sharma cricketer,hyderabad punjab,abhishek sharma century,ipl fastest century,abhishek,sunrisers hyderabad vs punjab kings match,abhishek sharma stats,srh vs pbks live,fastest fifty in ipl,sunrisers hyderabad vs punjab kings stats,fastest 100,ipl highest partnership,rcb vs srh,pnb vs srh,abhishek sharma ipl,highest ipl chase,highest individual scores in ipl,ipl stats,highest ipl partnership,highest individual score in ipl history,rajiv gandhi international stadium,srh vs pbks live score,pun vs srh,highest score in ipl individual,srh owner kavya maran,ipl highest score player,pbks vs srh live score,highest score in ipl by a player,orange army,srh team,srh match today,srh vs pbks toss,ipl highest score individual,sunrisers hyderabad vs punjab kings players,highest successful run chase in ipl,shr vs pbks,srh score,fastest century in ipl 2025,highest score by a batsman in ipl,highest player score in ipl,highest score in ipl history,a sharma,individual highest score in ipl,srh vs rcb,fastest century in ipl history,highest scores in ipl,abhishek sharma ipl 2025 runs,highest chase in ipl history,abhishek sharma ipl price,fastest ipl 100,abhishek sharma note,rajiv gandhi international stadium pitch report,klaasen,pbks vs srh 2024,highest ipl score individual,ipl srh vs pbks,abhishek sharma highest score in ipl,ipl highest chase,punjab vs hyderabad live score,head,srh vs pbks scorecard,srh today match,fastest 100 in ipl 2025,srh captain,punjab kings vs sunrisers hyderabad match,abhishek sharma srh,highest run in ipl history,abhishek srh,srh vs p,srh vs pbks dream11 prediction,highest score in ipl player,abhishek sharma ipl team 2025,abhishek sharma today,srh captain 2025,abhisek sharma,abhishek sharma ipl century,highest individual score in ipl by indian,highest batsman score in ipl,sunrisers vs kings toss,ipl 2025 score,ipl srh,kavya,ipl t20,highest score by a player in ipl,highest individual ipl score,srh vs pbks toss win today,fastest century in cricket history,ipl 2025 highest score,ipl 2025 highest score team,sportskeeda,abhishek sharma ipl price 2025,highest individual score in ipl 2025,shreyas iyer ipl 2025,abhishek sharma runs in ipl 2025,pbks vs srh toss,srh vs pbks pitch report,abhishek sharma paper,highest run chase in ipl history,highest chasing score in ipl,sunrisers,ipl score board,ipl highest score by batsman,srh vs pbks highlights,pbks - srh,ipl highest score 2025,fastest 100 in ipl history,more,pbks vs srh scorecard,abhishek sharma highest score,ipl final 2025,srh abhishek sharma,srh ipl,fastest centuries in ipl,ipl scores,srh last match,abhishek sharma century in ipl,pbks last match,srh last match scorecard,punjab hyderabad	https://trends.google.com/trends/explore?q=pbks%20vs%20srh&geo=IN&hl=en-GB
mohun bagan vs bengaluru	500K+	12 April 2025 at 17:10:00 UTC+5:30		mohun bagan vs bengaluru,isl final,isl,jamie maclaren,mohun bagan,isl live,where to watch mohun bagan super giant vs bengaluru fc,isl final 2025,bfc,mohun bagan super giant vs bengaluru fc,mohun bagan super giant,indian super league,isl match today,mbsg vs bfc,bengaluru fc,isl live score,hero isl,bfc vs mohun bagan,today isl match,isl match,mbsg,isl today match,mohun bagan super giant vs bengaluru fc lineups,jason cummings,indian super league games,isl 2024-25,isl match today live,mohun bagan match today,mohun bagan vs bengaluru live,mohun bagan vs bengaluru tickets,isl score,bfc vs mbsg,isl today,isl winners list,mohan bagan,bengaluru vs mohun bagan,isl 2025,mohun bagan super giant vs bengaluru fc stats,atk mohun bagan,mb vs bengaluru,isl winners,mohun bagan super giant vs bengaluru fc timeline,today mohun bagan match,manvir singh	https://trends.google.com/trends/explore?q=mohun%20bagan%20vs%20bengaluru&geo=IN&hl=en-GB
leganes vs barcelona	50K+	12 April 2025 at 23:30:00 UTC+5:30		leganes vs barcelona,barcelona vs leganes,barcelona,cd leganÃ©s vs fc barcelona,leganes,barcelona fc,futbol club barcelona,barcelona vs,eric garcÃ­a,barca vs leganes	https://trends.google.com/trends/explore?q=leganes%20vs%20barcelona&geo=IN&hl=en-GB
titans vs super giants	500K+	12 April 2025 at 15:00:00 UTC+5:30		titans vs super giants,gujarat titans vs lucknow super giants match scorecard,lucknow super giants vs gujarat titans match scorecard,aiden markram,todays ipl match,where to watch lucknow super giants vs gujarat titans,gt vs lsg 2025,ayush badoni,where to watch gujarat titans vs lucknow super giants,mitchell marsh ipl,lucknow super giants,lucknow super giants vs gujarat titans,avesh khan,gujarat titans,gujarat titans vs lucknow super giants,gt vs lsg live score,lsg vs gt 2025,gt lsg,lsg versus gt,lsg gt,david miller,sai kishore,gt versus lsg,sherfane rutherford,gt vs,gujarat titans vs lucknow super giants timeline,gujarat titans vs lucknow super giants standings,gt v lsg,lsg v gt,titans at super giants,lucknow super giants vs gujarat titans standings,ipl point table,lucknow super giants vs gujarat titans timeline,lucknow versus gujarat,lucknow vs gujarat,gujarat versus lucknow,lsg vs gt 2024,gujarat vs lucknow,lsg vsgt,titans vs super giant,lucknow super giants vs gujarat titans players,lsg,lsg vs gt live,ipl highest run player,points table ipl 2024,pooran,gujarat titans vs lucknow super giants stats,lsg vs gt dream11 prediction,lsg vs,lsg vs gt toss,lucknow gujarat,why mitchell marsh is not playing today,lsg vs gt scorecard,lucknow super giants vs gujarat titans stats,parthiv patel,markram,pooran ipl,badoni,gt vs lsg 2025 scorecard,nicholas pooran ipl 2025,ekana cricket stadium b ground,gujarat lucknow,gt vs lsg 2024,lsg va gt,gt vs lsg toss,lsg vs gt 2023,gtvslsg,gt vs lsg live,lsg vs gt pitch report,ipl gt vs lsg,lsg vs gt head to head,gtvs lsg,gt last match scorecard,ekana cricket stadium pitch report,ekana cricket stadium b ground pitch report,gt - lsg,gill,ekana stadium pitch report,lsg last match scorecard,ekana cricket stadium,2025 ipl point table	https://trends.google.com/trends/explore?q=titans%20vs%20super%20giants&geo=IN&hl=en-GB
man city vs crystal palace	100K+	12 April 2025 at 16:10:00 UTC+5:30		man city vs crystal palace,man city,manchester city,manchester city vs crystal palace,james mcatee,man city vs crystal palace f.c.,where to watch man city vs crystal palace f.c.,manchester city f.c.,nico o'reilly	https://trends.google.com/trends/explore?q=man%20city%20vs%20crystal%20palace&geo=IN&hl=en-GB
himmat singh	100K+	12 April 2025 at 14:40:00 UTC+5:30		himmat singh,himmat singh cricketer,h singh lsg,himmat singh,	https://trends.google.com/trends/explore?q=himmat%20singh&geo=IN&hl=en-GB
al-nassr vs al-riyadh	50K+	12 April 2025 at 22:40:00 UTC+5:30		al-nassr vs al-riyadh,al nassr,saudi pro league,alnassr,cristiano ronaldo,al nassr match,al-nassr,al-nassr fc,ronaldo,al-nassr vs al-riyadh sc,al nassr vs	https://trends.google.com/trends/explore?q=al-nassr%20vs%20al-riyadh&geo=IN&hl=en-GB
manabadi inter results 2025	500K+	12 April 2025 at 07:30:00 UTC+5:30		manabadi inter results 2025,ts manabadi inter results 2025,ap inter results,manabadi,indian results,bie.ap.gov.in 2025,manabadi inter results,bie ap gov in,bieap results 2025,bieap ap inter results 2nd year,resultsbie ap gov in 2025,bie.ap.gov.in results,inter results 2025 ap,bieap inter results 2025,inter 1st year results,intermediate results,ap inter 2nd year results 2025,inter results 2025 date,bieap inter results 2025 ap 2nd year,ap inter results 2025 link,ts inter results 2025,intermediate results 2025,inter result,ap intermediate 1st year results 2025,manabadi ap inter results 2025 date,bie.ap.gov.in,inter 1st year results 2025,inter 2nd year results 2025,ap inter results 2025 manabadi,ap intermediate results,inter 2nd year results,intermediate result,bieap.gov.in results,apbie,inter results 2025 date ts,bieap results,bie ap gov in hall ticket,ap intermediate results 2025,results,ap inter result,https resultsbie ap gov in,resultsbie.ap.gov.in,ap inter results 2025 date 1st year,inter results 2025 link,bie,manabadi results,ap intermediate public result 2025,manabadi inter hall tickets 2025,bieap.gov.in,mana badi inter result,inter results 2025 date ap 1st year,resultsbie.ap.gov.in 2025,tsbie,inter results ap,results of intermediate 2025,ap inter result 2025,ap inter hall ticket 2025,bie ap,bie ap gov in 2025 inter results,india results 2025,ap results,india result 2025,ap inter 1st year results 2025,bieap.gov.in hall tickets 2025,inter results 2025 date ap 2nd year,inter results link,manabadi ap inter results 2025,results.bie.ap.gov.in 2025,telangana inter results 2025,ap inter hall ticket download,bie.ap.gov.in 2025 hall ticket,bie ap inter results,inter first year results 2025,ap inter results link,inter result 2025,board of intermediate education andhra pradesh,sakshi inter results,results bie ap gov in,open inter results 2025,apbie results,intermediate result 2025,inter second year results 2025,manabadi inter results 2025 ap,bie ap gov in 2025,board of intermediate results,bie ap gov in 2025 hall ticket download manabadi,indian result,ap.bie.gov.in 2025,bie results,ap inter results 2025 2nd year,ap inter results 2025 date 2nd year,manabadi.com,bieap.gov.in.,ap results 2025 inter date,how to check inter results,www.bieap.gov.in 2025,results bie ap gov in 2025,ap,bie ap gov in results,ap inter 2nd year results,bie ap gov in 2025 hall ticket download,inter 1st year results 2025 date,bie.ap,ap intermediate 1st year results,bieap inter results,ap open inter results 2025,inter,https //bie.ap.gov.in results,ap results 2025,inter results 2025 ap 1st year,1st year result 2025,bieap.gov.in results 2025,bie-ap-gov-in 2025,india results ap,inter results 2025 manabadi,intermediate results 2025 ap,ipe results 2025,resultsbie.ap.gov.in.,open inter results 2025 date,www.bieap.gov.in. or manabadi,2nd year result 2025,ap inter results 2024,ap inter 1st year results,ap inter,indian results 2025,bieap ap inter results 2025,results.bie.ap.gov.in,bie.ap.gov.in.,ap ipe results 2025,ap intermediate result,inter 1st year result,open inter results,inter results 2025 ap 2nd year,ap inter results 2025 1st year,1st year result 2025 date,intermediate result date 2025 ap,ap.gov.in results,inter ap results 2025,inter result link,ap bie,ap 10th class results 2025,ap inter results manabadi,inter 1st year results 2025 ap,bie. ap. gov. in,bie-ap-gov-in,manabadi inter results 2nd year,inter 2nd year results ap,ap manabadi inter results 2025,inter results ap 2025,bie ap gov,1st year result,ap inter 1st year results manabadi,ap 2nd year results 2025,intermediate results ap,resultsbie,gov,intermediate results 2025 date,andhra pradesh 1st year result 2025,inter results link 2025 ap,2025 inter result,sakshi results,ap inter result link,sakshi,ap inter second year results 2025,manabadi results 2025,inter 2nd year result,ts inter results 2025 date 1st year,results bieap gov in,resultsbie ap gov in,ap intermediate 2nd year results 2025,ap inter 2025 results,bie.ap.gov.in 2025 results,inter results 2025 ap link,inter result ap,ap bie results,ap inter result 2025 name wise,ap inter results link 2025,ap inter first year results 2025,board of intermediate education,bie.ap.gov.in login,inter ap results,ap inter results 2025 website,bieap inter results 2024,first year result,manabadi inter results 2024,ap inter results date,results bieap,results bie.ap.gov.in,ap result,2nd year inter results,2nd year result 2025 date,bieap gov in,bie ap results,ap intermediate results 2025 link,bse ap gov,1st year results,inter marks,inter results 2025 website,www.bse.ap.gov.in results,ap inter results 2025 date and time,ap inter 2nd year results manabadi,bieap.apcfss.in,ap inter 2nd year results date,intermediate result link,inter results manabadi,ap inter 1st year results 2025 manabadi,apbie results 2025,inter 2nd year hall ticket 2025,2nd year result,manabadi. com,resultsbie. ap. gov. in,inter results 2024,ap inter results 2024 manabadi,manabadi inter 1st year results,ap inter results 2025 check online,www.bse.ap.gov.in 2025 hall ticket,inter 2nd year results 2025 ap,inter results 2025 2nd year,resultsbie ap gov in 2024,intermediate 2nd year results 2025,inter second year results,intermediate result ap,intermediate 1st year results 2025,apbie hall ticket 2025,ap intermediate results link,inter results 2025 ts,ap intermediate result date 2025,all india results 2025,intermediate 1st year results,andhra pradesh intermediate results 2025,manabadi ap inter results,manabadi inter 2nd year results,bieap inter results 2025 link,bse-ap-gov-in,2nd year results,inter 1st year results link	https://trends.google.com/trends/explore?q=manabadi%20inter%20results%202025&geo=IN&hl=en-GB
à¤ªà¥€à¤¬à¥€à¤•à¥‡à¤à¤¸ à¤¬à¤¨à¤¾à¤® srh	50K+	12 April 2025 at 19:00:00 UTC+5:30		à¤ªà¥€à¤¬à¥€à¤•à¥‡à¤à¤¸ à¤¬à¤¨à¤¾à¤® srh,à¤…à¤­à¤¿à¤·à¥‡à¤• à¤¶à¤°à¥à¤®à¤¾,à¤ªà¤‚à¤œà¤¾à¤¬ à¤•à¤¿à¤‚à¤—à¥à¤¸ à¤¬à¤¨à¤¾à¤® à¤¸à¤¨à¤°à¤¾à¤‡à¤œà¤°à¥à¤¸,à¤ªà¥€à¤¬à¥€à¤•à¥‡à¤à¤¸ à¤µà¤¿ srh,à¤ªà¤‚à¤œà¤¾à¤¬ à¤•à¤¿à¤‚à¤—à¥à¤¸ à¤¬à¤¨à¤¾à¤® à¤¸à¤¨à¤°à¤¾à¤‡à¤œà¤°à¥à¤¸ à¤¹à¥ˆà¤¦à¤°à¤¾à¤¬à¤¾à¤¦ à¤•à¥‡ à¤®à¥ˆà¤š à¤•à¤¾ à¤¸à¥à¤•à¥‹à¤°à¤•à¤¾à¤°à¥à¤¡,à¤¶à¥à¤°à¥‡à¤¯à¤¸ à¤…à¤¯à¥à¤¯à¤°,à¤¸à¤¨à¤°à¤¾à¤‡à¤œà¤°à¥à¤¸ à¤¹à¥ˆà¤¦à¤°à¤¾à¤¬à¤¾à¤¦ à¤¬à¤¨à¤¾à¤® à¤ªà¤‚à¤œà¤¾à¤¬ à¤•à¤¿à¤‚à¤—à¥à¤¸ à¤•à¥‡ à¤®à¥ˆà¤š à¤•à¤¾ à¤¸à¥à¤•à¥‹à¤°à¤•à¤¾à¤°à¥à¤¡,à¤Ÿà¥à¤°à¥‡à¤µà¤¿à¤¸ à¤¹à¥‡à¤¡,srh à¤¬à¤¨à¤¾à¤® à¤ªà¥€à¤¬à¥€à¤•à¥‡à¤à¤¸,à¤—à¥à¤²à¥‡à¤¨ à¤®à¥ˆà¤•à¥à¤¸à¤µà¥‡à¤²,srh vs pbks pitch report hindi,rajiv gandhi international stadium pitch report in hindi	https://trends.google.com/trends/explore?q=%E0%A4%AA%E0%A5%80%E0%A4%AC%E0%A5%80%E0%A4%95%E0%A5%87%E0%A4%8F%E0%A4%B8%20%E0%A4%AC%E0%A4%A8%E0%A4%BE%E0%A4%AE%20srh&geo=IN&hl=en-GB
bayern vs dortmund	50K+	12 April 2025 at 21:10:00 UTC+5:30		bayern vs dortmund,bundesliga,dortmund,bayern munich vs borussia dortmund	https://trends.google.com/trends/explore?q=bayern%20vs%20dortmund&geo=IN&hl=en-GB
